Custody/AOR/Facility,Manager,Type,FY21_yr_to_date,Address,City,State,Zip,Latitude,Longitude
Seneca County Jail,Sheriff,Public,Y,3040 South State Highway 100,Tiffin,OH,44883,41.242376,-83.241337
Sherburne County Jail,Sheriff,Public,Y,13880 Business Center Drive,Elk River,MN,55330,45.303572,-93.62039
Sheriff Al Cannon Detention Center,Sheriff,Public,n,3841 Leeds Avenue,North Charleston,SC,29405,32.847177,-80.014186
South Central Regional Jail,State,Public,Y,1001 Centre Way,Charleston,WV,25309,38.310996,-81.710286
South Louisiana Correctional Center,GeoGroup,Private,Y,3843 Stagg Avenue,Basile,LA,70515,30.484712,-92.607459
South Texas Family Residential Center (Dilley),CoreCivic,Private,Y,300 El Rancho Way,Dilley,TX,78017,28.658538,-99.201166
South Texas ICE Processing Center (Pearsall),GeoGroup,Private,Y,566 Veterans Drive,Pearsall,TX,78061,28.895694,-99.120202
Stewart Detention Center,CoreCivic,Private,Y,146 CCA Road,Lumpkin,GA,31815,32.039122,-84.770133
Strafford County Corrections,County,Public,Y,266 County Farm Road,Dover,NH,3820,43.219176,-70.938666
T. Don Hutto Residential Center,CoreCivic,Private,Y,1001 Welch Street,Taylor,TX,76574,30.565077,-97.419691
Torrance County Detention Center,CoreCivic,Private,Y,209 County Road 49,Estancia,NM,87016,34.752146,-106.16066
Wakulla County Jail,Sheriff,Public,Y,15 Oak Street,Crawfordville,FL,32327,30.195947,-84.376778
Washington County Jail,Sheriff,Public,n,County Ave,Fayetteville,AR,72701,36.06184,-94.157397
Webb County Detention Center (CCA),CoreCivic,Private,Y,9998 South Highway 83,Laredo,TX,78046,27.367767,-99.495067
Winn Correctional Center,LaSalle,Private,Y,560 Gum Spring Road,Winnfield,LA,71483,31.809211,-92.744735
Worcester County Jail,Sheriff,Public,Y,5022 Joyner Road,Snow Hill,MD,21863,38.170027,-75.375911
Wyatt Detention Center,Central Falls Detention Facility Corporation,Private,Y,950 High Street,Central Falls,RI,2863,41.892328,-71.384013
York County Jail,Sheriff,Public,Y,3400 Concord Road,York,PA,17402,39.987244,-76.663713
York County Prison,Sheriff,Public,Y,3400 Concord Road,York,PA,17402,39.987244,-76.663713
Yuba County Jail,Sheriff,Public,Y,215 5th Street,Marysville,CA,95901,39.140676,-121.586736
NA,,,Y,3424 Highway 252 East,Folkston,GA,31537,30.838002,-81.999781
NA,,,Y,600 East Fourth St.,Chaska,MN,55318,44.788508,-93.594014
NA,,,Y,311 Athey Ave,San Diego,CA,92154,32.5653,-117.05491
NA,,,Y,720 E San Ysidro Blvd,San Ysidro,CA,92173,32.543636,-117.029304
NA,,,Y,301 South Walnut Street,Cottonwood Falls,KS,66845,38.367157,-96.538447
NA,,,Y,325 Court Street,Sault Sainte Marie,MI,49783,46.497606,-84.346106
NA,,,Y,25 Mccarthy Drive,Plattsburgh,NY,12901,44.720019,-73.466723
NA,,,Y,3301 Tamiami Trail East,Naples,FL,34112,26.125983,-81.763988
NA,,,Y,3130 N. Oakland St.,Aurora,CO,80010,39.761052,-104.849066
NA,,,Y,11901 E. 30th Ave,Aurora,CO,80010,39.759635,-104.849442
NA,,,Y,203 Aspinall Avenue,Hagatna,GU,96910,13.444257,144.786297
NA,,,Y,10450 Rancho Road,Adelanto,CA,92301,34.559426,-117.437812
NA,,,Y,215 West Central Street,Juneau,WI,53039,43.372221,-88.710157
NA,,,Y,829 Fieldcrest Road,Cambridge,MD,21613,38.547803,-76.058468
NA,,,Y,1330 Highway 107,La Villa,TX,78562,26.294017,-97.918988
NA,,,Y,1618 Ash Street,Erie,PA,16503,42.124733,-80.065949
NA,,,Y,1102 W. Euless Blvd.,Euless,TX,76040,32.82891,-97.10203
NA,,,Y,600 Old Frankford Cr,Lexington,KY,40510,38.065632,-84.545141
NA,,,Y,3250 North Pinal Parkway,Florence,AZ,85232,33.063608,-111.379047
NA,,,Y,201 West Grant Avenue,Pauls Valley,OK,73075,34.740008,-97.22227
NA,,,Y,1701 North Washington St,Grand Forks,ND,58206,47.935496,-97.057652
NA,,,Y,Hwy 28 Intsect Of Road 165,San Juan,PR,939,18.465901,-66.103568
NA,,,Y,9101 Hesterberg Road,Eagle River,AK,99577,61.301915,-149.58006
NA,,,Y,412 I-35 South,Pearsall,TX,78061,29.027821,-99.049757
NA,,,Y,3500 Joe Battle Blvd,El Paso,TX,79938,31.762451,-106.268415
NA,,,Y,351 Elliott St.,Honolulu,HI,96819,21.333652,-157.928317
NA,,,Y,5501 North La Palma Road,Eloy,AZ,85131,32.814174,-111.531994
NA,,,Y,1109 Arizona Ave.,Parker,AZ,85344,34.146022,-114.289851
NA,,,Y,2935 Highway 51,Canton,MS,39046,32.643209,-90.023299
NA,,,Y,2300 East Street,Texarkana,AR,71854,33.401169,-94.022475
NA,,,Y,145 Fort Collier Road,Winchester,VA,22604,39.199612,-78.145133
NA,,,Y,314 W. 7th Street,Okmulgee,OK,74447,35.622307,-95.974094
NA,,,Y,188 Cemetery St,Carrollton,AL,35447,33.289682,-88.117113
NA,,,Y,14400 495th Street North,Clearwater,FL,33762,27.90291,-82.70428
NA,,,Y,4000 Main Street,Troy,NY,12180,42.709342,-73.700791
NA,,,Y,640 Cherry Street,Del Norte,CO,81132,37.676285,-106.350811
NA,,,Y,25 South Liberty Street,Harrisonburg,VA,22801,38.4493,-78.870779
NA,,,Y,"Tekken St., Susupe Village",Saipan,MP,96950,15.190135,145.740804
NA,,,Y,50140 United States Highway 191 South,Rock Springs,WY,82901,41.634515,-109.149045
NA,,,Y,288 Weaverville Road,Divide,CO,80814,38.942189,-105.154167
NA,,,Y,911 Parr Boulevard,Reno,NV,89512,39.574718,-119.813104
,,,Y,6299 Finde Naifeh Drive,Mason,TN,38049,35.406129,-89.548988
